groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,7.706,space,5.317,u,8.178,0,0,0,18,1,ci19,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_691399_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,u,2.577,0,1,1,102,1,ci103,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_930308_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,o,1.984,0,2,2,25,1,ci26,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_126568_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,u,1.365,0,3,3,72,1,ci73,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_929772_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,u,2.513,0,4,4,30,1,ci31,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_296889_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,u,0.767,0,5,5,86,1,ci87,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_491143_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,u,0.897,0,6,6,96,1,ci97,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_823586_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,o,0.824,0,7,7,56,1,ci57,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_312500_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,u,0.817,0,8,8,41,1,ci42,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_706497_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,o,1.284,0,9,9,90,1,ci91,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_551334_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,o,1.297,0,10,10,65,1,ci66,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_644305_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,u,1.281,0,11,11,24,1,ci25,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_986864_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,u,1.496,0,12,12,85,1,ci86,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_462266_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,u,1.306,0,13,13,59,1,ci60,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_488856_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,o,1.239,0,14,14,74,1,ci75,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_962973_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,u,1.616,0,15,15,3,1,ci04,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_215299_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,o,0.987,0,16,16,78,1,ci79,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_222143_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,u,0.915,0,17,17,9,1,ci10,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_435390_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,u,3.147,0,18,18,32,1,ci33,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_362980_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
,,,,u,1.127,0,19,19,46,1,ci47,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_899909_autoscaled.jpg,5e4463978ea5130700f56037,2022-06-14_13h07.01.948,group_task,2020.2.10,Win32,60
