groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,4.7164,space,17.5858,u,3.9378,0,0,0,39,1,ci40,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_643489_autoscaled.jpg,5e276413061ea89a4e2a03f6,2022-06-14_12h52.11.913,group_task,2020.2.10,Win32,60
,,,,u,2.5159,0,1,1,63,1,ci64,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_583297_autoscaled.jpg,5e276413061ea89a4e2a03f6,2022-06-14_12h52.11.913,group_task,2020.2.10,Win32,60
,,,,o,1.0061,0,2,2,87,1,ci88,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_506265_autoscaled.jpg,5e276413061ea89a4e2a03f6,2022-06-14_12h52.11.913,group_task,2020.2.10,Win32,60
,,,,u,1.8209,0,3,3,15,1,ci16,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_626058_autoscaled.jpg,5e276413061ea89a4e2a03f6,2022-06-14_12h52.11.913,group_task,2020.2.10,Win32,60
,,,,u,1.1378,0,4,4,53,1,ci54,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_283998_autoscaled.jpg,5e276413061ea89a4e2a03f6,2022-06-14_12h52.11.913,group_task,2020.2.10,Win32,60
,,,,o,2.9206,0,5,5,52,1,ci53,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_247453_autoscaled.jpg,5e276413061ea89a4e2a03f6,2022-06-14_12h52.11.913,group_task,2020.2.10,Win32,60
,,,,u,3.8828,0,6,6,66,1,ci67,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_648338_autoscaled.jpg,5e276413061ea89a4e2a03f6,2022-06-14_12h52.11.913,group_task,2020.2.10,Win32,60
,,,,u,0.8845,0,7,7,104,1,ci105,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_997890_autoscaled.jpg,5e276413061ea89a4e2a03f6,2022-06-14_12h52.11.913,group_task,2020.2.10,Win32,60
,,,,o,2.3976,0,8,8,13,1,ci14,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_505940_autoscaled.jpg,5e276413061ea89a4e2a03f6,2022-06-14_12h52.11.913,group_task,2020.2.10,Win32,60
,,,,o,1.512,0,9,9,91,1,ci92,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_601743_autoscaled.jpg,5e276413061ea89a4e2a03f6,2022-06-14_12h52.11.913,group_task,2020.2.10,Win32,60
