groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
u,7.0267,space,14.6005,u,5.955,0,0,0,96,1,ci97,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_823586_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,4.0284,0,1,1,79,1,ci80,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_316191_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,3.7031,0,2,2,17,1,ci18,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_688723_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,3.019,0,3,3,37,1,ci38,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_593992_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,4.8001,0,4,4,99,1,ci100,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_913688_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,2.4427,0,5,5,11,1,ci12,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_481688_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,1.9289,0,6,6,32,1,ci33,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_362980_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,3.2204,0,7,7,46,1,ci47,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_899909_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,3.9065,0,8,8,34,1,ci35,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_426896_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,2.4651,0,9,9,54,1,ci55,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_293475_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,1.7371,0,10,10,103,1,ci104,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_977450_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,4.1378,0,11,11,67,1,ci68,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_662846_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,5.1419,0,12,12,4,1,ci05,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_224595_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,3.5165,0,13,13,15,1,ci16,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_626058_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,4.5276,0,14,14,14,1,ci15,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_509033_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,2.6173,0,15,15,84,1,ci85,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_402893_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,3.2908,0,16,16,93,1,ci94,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_758732_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,3.777,0,17,17,61,1,ci62,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_537785_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,1.0328,0,18,18,45,1,ci46,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_882735_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,3.0799,0,19,19,38,1,ci39,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_612237_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,3.7983,0,20,20,107,1,ci108,liberal,ingroup,group,cis/group level cis/base_group_liberalIngroup_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,3.6019,0,21,21,28,1,ci29,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_258288_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,5.4618,0,22,22,95,1,ci96,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_809176_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,1.3688,0,23,23,39,1,ci40,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_643489_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,3.0785,0,24,24,29,1,ci30,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_270729_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,1.0349,0,25,25,77,1,ci78,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_202477_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,2.5331,0,26,26,105,1,ci106,conservative,ingroup,group,cis/group level cis/base_group_conservativeIngroup_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,7.4987,0,27,27,42,1,ci43,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_735257_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,3.5367,0,28,28,13,1,ci14,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_505940_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,o,1.7474,0,29,29,78,1,ci79,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_222143_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
,,,,u,1.9858,0,30,30,44,1,ci45,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_844015_autoscaled.jpg,62745bb0067f8d9fc75de205,2022-06-14_10h32.47.401,group_task,2020.2.10,Win32,60
