groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,7.154,space,9.9304,u,1.4085,0,0,0,100,1,ci101,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_920112_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
,,,,o,1.2314,0,1,1,33,1,ci34,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_394668_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
,,,,u,1.5244,0,2,2,75,1,ci76,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_119301_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
,,,,o,1.1405,0,3,3,97,1,ci98,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_845263_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
,,,,o,1.3096,0,4,4,81,1,ci82,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_347579_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
,,,,u,1.5086,0,5,5,89,1,ci90,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_535284_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
,,,,o,1.7904,0,6,6,63,1,ci64,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_583297_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
,,,,o,1.9466,0,7,7,2,1,ci03,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_196857_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
,,,,u,1.2483,0,8,8,87,1,ci88,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_506265_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
,,,,o,1.4154,0,9,9,29,1,ci30,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_270729_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
,,,,o,1.3496,0,10,10,20,1,ci21,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_746809_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
,,,,u,1.8181,0,11,11,44,1,ci45,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_844015_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
,,,,o,1.8144,0,12,12,6,1,ci07,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_312027_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
,,,,o,3.0351,0,13,13,58,1,ci59,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_458729_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
,,,,u,2.1398,0,14,14,3,1,ci04,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_215299_autoscaled.jpg,5d58b018a0c0940001a47057,2022-06-14_13h21.48.371,group_task,2020.2.10,Win32,60
