groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,6.2225,space,2.8468,o,4.6734,0,0,0,11,1,ci12,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_481688_autoscaled.jpg,5dedf76558776a4a4a845c68,2022-06-14_10h29.22.924,group_task,2020.2.10,Win32,60
,,,,u,7.397,0,1,1,51,1,ci52,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_569ac8_autoscaled.jpg,5dedf76558776a4a4a845c68,2022-06-14_10h29.22.924,group_task,2020.2.10,Win32,60
,,,,o,2.9652,0,2,2,1,1,ci02,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_187033_autoscaled.jpg,5dedf76558776a4a4a845c68,2022-06-14_10h29.22.924,group_task,2020.2.10,Win32,60
,,,,o,5.0164,0,3,3,27,1,ci28,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_184974_autoscaled.jpg,5dedf76558776a4a4a845c68,2022-06-14_10h29.22.924,group_task,2020.2.10,Win32,60
,,,,u,2.5555,0,4,4,2,1,ci03,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_196857_autoscaled.jpg,5dedf76558776a4a4a845c68,2022-06-14_10h29.22.924,group_task,2020.2.10,Win32,60
,,,,o,7.2912,0,5,5,0,1,ci01,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_184154_autoscaled.jpg,5dedf76558776a4a4a845c68,2022-06-14_10h29.22.924,group_task,2020.2.10,Win32,60
,,,,o,1.9105,0,6,6,92,1,ci93,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_691475_autoscaled.jpg,5dedf76558776a4a4a845c68,2022-06-14_10h29.22.924,group_task,2020.2.10,Win32,60
,,,,u,3.3349,0,7,7,16,1,ci17,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_630658_autoscaled.jpg,5dedf76558776a4a4a845c68,2022-06-14_10h29.22.924,group_task,2020.2.10,Win32,60
,,,,u,3.9999,0,8,8,63,1,ci64,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_583297_autoscaled.jpg,5dedf76558776a4a4a845c68,2022-06-14_10h29.22.924,group_task,2020.2.10,Win32,60
,,,,o,2.6267,0,9,9,59,1,ci60,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_488856_autoscaled.jpg,5dedf76558776a4a4a845c68,2022-06-14_10h29.22.924,group_task,2020.2.10,Win32,60
