groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,6.4182,space,9.8465,u,4.4711,0,0,0,100,1,ci101,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_920112_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,1.37,0,1,1,74,1,ci75,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_962973_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,0.9726,0,2,2,32,1,ci33,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_362980_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,1.1716,0,3,3,33,1,ci34,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_394668_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,1.0533,0,4,4,94,1,ci95,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_798785_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,0.9195,0,5,5,99,1,ci100,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_913688_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,1.5275,0,6,6,61,1,ci62,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_537785_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,1.8986,0,7,7,8,1,ci09,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_420235_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,1.3212,0,8,8,42,1,ci43,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_735257_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,o,1.0607,0,9,9,60,1,ci61,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_499872_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,o,0.0427,0,10,10,91,1,ci92,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_601743_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,1.3165,0,11,11,92,1,ci93,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_691475_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,1.0588,0,12,12,41,1,ci42,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_706497_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,1.3918,0,13,13,22,1,ci23,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_851879_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,0.8592,0,14,14,71,1,ci72,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_887954_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,o,1.186,0,15,15,67,1,ci68,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_662846_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,1.2179,0,16,16,49,1,ci50,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_914661_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,1.1843,0,17,17,89,1,ci90,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_535284_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,0.9177,0,18,18,84,1,ci85,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_402893_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,o,0.9012,0,19,19,107,1,ci108,liberal,ingroup,group,cis/group level cis/base_group_liberalIngroup_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,0.9691,0,20,20,46,1,ci47,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_899909_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,1.2342,0,21,21,105,1,ci106,conservative,ingroup,group,cis/group level cis/base_group_conservativeIngroup_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
,,,,u,1.2053,0,22,22,34,1,ci35,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_426896_autoscaled.jpg,611fcf08e319f17f3ed80954,2022-06-14_13h26.05.451,group_task,2020.2.10,Win32,60
