groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
u,9.9686,space,24.7459,u,2.1297,0,0,0,96,1,ci97,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_823586_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,1.1326,0,1,1,52,1,ci53,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_247453_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,u,1.4077,0,2,2,76,1,ci77,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_135744_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.6531,0,3,3,17,1,ci18,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_688723_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.7653,0,4,4,70,1,ci71,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_856223_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,u,0.7435,0,5,5,3,1,ci04,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_215299_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.5613,0,6,6,80,1,ci81,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_318528_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,u,0.7886,0,7,7,30,1,ci31,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_296889_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,2.0838,0,8,8,47,1,ci48,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_901185_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,1.0678,0,9,9,29,1,ci30,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_270729_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,u,1.4082,0,10,10,21,1,ci22,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_791214_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,u,0.8354,0,11,11,87,1,ci88,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_506265_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,u,1.0348,0,12,12,88,1,ci89,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_518254_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,u,1.1141,0,13,13,5,1,ci06,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_244753_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,u,1.0178,0,14,14,43,1,ci44,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_746324_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.8686,0,15,15,74,1,ci75,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_962973_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,u,1.4325,0,16,16,36,1,ci37,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_559539_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.6664,0,17,17,9,1,ci10,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_435390_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,1.5525,0,18,18,66,1,ci67,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_648338_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,1.0523,0,19,19,106,1,ci107,conservative,outgroup,group,cis/group level cis/base_group_conservativeOutgroup_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,u,1.0535,0,20,20,25,1,ci26,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_126568_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.8808,0,21,21,68,1,ci69,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_806540_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,1.7024,0,22,22,2,1,ci03,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_196857_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,u,1.3943,0,23,23,58,1,ci59,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_458729_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.9042,0,24,24,14,1,ci15,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_509033_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,1.083,0,25,25,35,1,ci36,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_526540_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.8687,0,26,26,86,1,ci87,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_491143_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.6637,0,27,27,48,1,ci49,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_906661_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.5813,0,28,28,95,1,ci96,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_809176_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.8115,0,29,29,22,1,ci23,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_851879_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.6402,0,30,30,71,1,ci72,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_887954_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,u,0.6538,0,31,31,59,1,ci60,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_488856_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.9235,0,32,32,108,1,ci109,liberal,outgroup,group,cis/group level cis/base_group_liberalOutgroup_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,u,0.6773,0,33,33,67,1,ci68,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_662846_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.4513,0,34,34,81,1,ci82,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_347579_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.5238,0,35,35,54,1,ci55,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_293475_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.9658,0,36,36,98,1,ci99,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_868580_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,o,0.624,0,37,37,63,1,ci64,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_583297_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
,,,,u,0.9717,0,38,38,16,1,ci17,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_630658_autoscaled.jpg,629e1261dc860cbee1a8be12,2022-06-14_13h34.30.648,group_task,2020.2.10,Win32,60
