groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,3.7706,space,6.2821,u,1.3307,0,0,0,40,1,ci41,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_656110_autoscaled.jpg,614dd9c7fe3afb375e947a27,2022-06-14_14h03.18.606,group_task,2020.2.10,MacIntel,60
,,,,o,0.6259,0,1,1,9,1,ci10,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_435390_autoscaled.jpg,614dd9c7fe3afb375e947a27,2022-06-14_14h03.18.606,group_task,2020.2.10,MacIntel,60
,,,,u,0.4312,0,2,2,59,1,ci60,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_488856_autoscaled.jpg,614dd9c7fe3afb375e947a27,2022-06-14_14h03.18.606,group_task,2020.2.10,MacIntel,60
,,,,u,0.4303,0,3,3,103,1,ci104,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_977450_autoscaled.jpg,614dd9c7fe3afb375e947a27,2022-06-14_14h03.18.606,group_task,2020.2.10,MacIntel,60
,,,,o,0.4051,0,4,4,76,1,ci77,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_135744_autoscaled.jpg,614dd9c7fe3afb375e947a27,2022-06-14_14h03.18.606,group_task,2020.2.10,MacIntel,60
,,,,o,0.369,0,5,5,106,1,ci107,conservative,outgroup,group,cis/group level cis/base_group_conservativeOutgroup_autoscaled.jpg,614dd9c7fe3afb375e947a27,2022-06-14_14h03.18.606,group_task,2020.2.10,MacIntel,60
,,,,u,0.3981,0,6,6,87,1,ci88,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_506265_autoscaled.jpg,614dd9c7fe3afb375e947a27,2022-06-14_14h03.18.606,group_task,2020.2.10,MacIntel,60
,,,,u,0.3193,0,7,7,4,1,ci05,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_224595_autoscaled.jpg,614dd9c7fe3afb375e947a27,2022-06-14_14h03.18.606,group_task,2020.2.10,MacIntel,60
,,,,u,0.3219,0,8,8,105,1,ci106,conservative,ingroup,group,cis/group level cis/base_group_conservativeIngroup_autoscaled.jpg,614dd9c7fe3afb375e947a27,2022-06-14_14h03.18.606,group_task,2020.2.10,MacIntel,60
,,,,u,0.3213,0,9,9,54,1,ci55,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_293475_autoscaled.jpg,614dd9c7fe3afb375e947a27,2022-06-14_14h03.18.606,group_task,2020.2.10,MacIntel,60
,,,,o,0.0007,0,10,10,17,1,ci18,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_688723_autoscaled.jpg,614dd9c7fe3afb375e947a27,2022-06-14_14h03.18.606,group_task,2020.2.10,MacIntel,60
