groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
u,6.8731,space,7.8199,o,2.9976,0,0,0,51,1,ci52,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_569ac8_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,o,3.6839,0,1,1,59,1,ci60,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_488856_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,o,2.4046,0,2,2,107,1,ci108,liberal,ingroup,group,cis/group level cis/base_group_liberalIngroup_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,u,1.021,0,3,3,42,1,ci43,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_735257_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,u,0.9195,0,4,4,39,1,ci40,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_643489_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,o,1.2948,0,5,5,80,1,ci81,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_318528_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,u,2.0071,0,6,6,108,1,ci109,liberal,outgroup,group,cis/group level cis/base_group_liberalOutgroup_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,u,0.8889,0,7,7,36,1,ci37,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_559539_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,u,1.4562,0,8,8,6,1,ci07,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_312027_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,u,0.7184,0,9,9,91,1,ci92,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_601743_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,o,1.0202,0,10,10,64,1,ci65,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_627839_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,o,0.751,0,11,11,62,1,ci63,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_574089_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,u,0.7705,0,12,12,14,1,ci15,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_509033_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,o,1.2464,0,13,13,18,1,ci19,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_691399_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,o,0.7954,0,14,14,85,1,ci86,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_462266_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
,,,,u,1.2701,0,15,15,11,1,ci12,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_481688_autoscaled.jpg,629082739390703f993b12bd,2022-06-14_12h29.44.820,group_task,2020.2.10,Win32,60
