groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,8.1562,space,10.5489,u,3.51,0,0,0,85,1,ci86,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_462266_autoscaled.jpg,62850b745c7bc322ecbbcd25,2022-06-14_13h08.50.046,group_task,2020.2.10,Win32,60
,,,,u,5.0868,0,1,1,6,1,ci07,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_312027_autoscaled.jpg,62850b745c7bc322ecbbcd25,2022-06-14_13h08.50.046,group_task,2020.2.10,Win32,60
,,,,o,4.0983,0,2,2,20,1,ci21,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_746809_autoscaled.jpg,62850b745c7bc322ecbbcd25,2022-06-14_13h08.50.046,group_task,2020.2.10,Win32,60
,,,,o,2.2042,0,3,3,25,1,ci26,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_126568_autoscaled.jpg,62850b745c7bc322ecbbcd25,2022-06-14_13h08.50.046,group_task,2020.2.10,Win32,60
,,,,u,2.835,0,4,4,107,1,ci108,liberal,ingroup,group,cis/group level cis/base_group_liberalIngroup_autoscaled.jpg,62850b745c7bc322ecbbcd25,2022-06-14_13h08.50.046,group_task,2020.2.10,Win32,60
,,,,o,2.1367,0,5,5,54,1,ci55,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_293475_autoscaled.jpg,62850b745c7bc322ecbbcd25,2022-06-14_13h08.50.046,group_task,2020.2.10,Win32,60
,,,,o,2.9211,0,6,6,17,1,ci18,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_688723_autoscaled.jpg,62850b745c7bc322ecbbcd25,2022-06-14_13h08.50.046,group_task,2020.2.10,Win32,60
,,,,u,3.6252,0,7,7,86,1,ci87,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_491143_autoscaled.jpg,62850b745c7bc322ecbbcd25,2022-06-14_13h08.50.046,group_task,2020.2.10,Win32,60
,,,,u,2.5694,0,8,8,22,1,ci23,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_851879_autoscaled.jpg,62850b745c7bc322ecbbcd25,2022-06-14_13h08.50.046,group_task,2020.2.10,Win32,60
,,,,o,1.4971,0,9,9,106,1,ci107,conservative,outgroup,group,cis/group level cis/base_group_conservativeOutgroup_autoscaled.jpg,62850b745c7bc322ecbbcd25,2022-06-14_13h08.50.046,group_task,2020.2.10,Win32,60
