groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,4.8603,space,3.9778,u,2.3452,0,0,0,103,1,ci104,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_977450_autoscaled.jpg,60fdc31fb206410b9609d04a,2022-06-14_12h19.28.123,group_task,2020.2.10,MacIntel,60
,,,,u,1.5921,0,1,1,78,1,ci79,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_222143_autoscaled.jpg,60fdc31fb206410b9609d04a,2022-06-14_12h19.28.123,group_task,2020.2.10,MacIntel,60
,,,,u,0.7476,0,2,2,8,1,ci09,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_420235_autoscaled.jpg,60fdc31fb206410b9609d04a,2022-06-14_12h19.28.123,group_task,2020.2.10,MacIntel,60
,,,,u,0.5315,0,3,3,16,1,ci17,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_630658_autoscaled.jpg,60fdc31fb206410b9609d04a,2022-06-14_12h19.28.123,group_task,2020.2.10,MacIntel,60
,,,,u,0.7297,0,4,4,90,1,ci91,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_551334_autoscaled.jpg,60fdc31fb206410b9609d04a,2022-06-14_12h19.28.123,group_task,2020.2.10,MacIntel,60
,,,,o,0.7806,0,5,5,10,1,ci11,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_470750_autoscaled.jpg,60fdc31fb206410b9609d04a,2022-06-14_12h19.28.123,group_task,2020.2.10,MacIntel,60
,,,,o,0.862,0,6,6,63,1,ci64,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_583297_autoscaled.jpg,60fdc31fb206410b9609d04a,2022-06-14_12h19.28.123,group_task,2020.2.10,MacIntel,60
,,,,o,0.8292,0,7,7,43,1,ci44,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_746324_autoscaled.jpg,60fdc31fb206410b9609d04a,2022-06-14_12h19.28.123,group_task,2020.2.10,MacIntel,60
,,,,u,0.7612,0,8,8,73,1,ci74,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_952099_autoscaled.jpg,60fdc31fb206410b9609d04a,2022-06-14_12h19.28.123,group_task,2020.2.10,MacIntel,60
,,,,o,0.8486,0,9,9,69,1,ci70,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_820737_autoscaled.jpg,60fdc31fb206410b9609d04a,2022-06-14_12h19.28.123,group_task,2020.2.10,MacIntel,60
