groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,8.2799,space,8.4282,o,1.6302,0,0,0,56,1,ci57,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_312500_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,u,1.3944,0,1,1,33,1,ci34,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_394668_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,u,1.3275,0,2,2,28,1,ci29,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_258288_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,o,1.2978,0,3,3,100,1,ci101,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_920112_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,u,2.3612,0,4,4,26,1,ci27,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_120204_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,o,0.668,0,5,5,14,1,ci15,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_509033_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,o,0.5314,0,6,6,91,1,ci92,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_601743_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,u,0.3818,0,7,7,89,1,ci90,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_535284_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,o,0.1322,0,8,8,60,1,ci61,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_499872_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,u,0.1677,0,9,9,22,1,ci23,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_851879_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,o,0.1178,0,10,10,59,1,ci60,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_488856_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,u,0.1274,0,11,11,39,1,ci40,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_643489_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,o,0.1294,0,12,12,83,1,ci84,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_383356_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,u,0.1492,0,13,13,30,1,ci31,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_296889_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,o,0.1668,0,14,14,49,1,ci50,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_914661_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,u,0.1783,0,15,15,18,1,ci19,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_691399_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,o,0.8737,0,16,16,61,1,ci62,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_537785_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,o,0.5245,0,17,17,65,1,ci66,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_644305_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,u,0.3438,0,18,18,42,1,ci43,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_735257_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,o,0.2795,0,19,19,6,1,ci07,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_312027_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,o,0.3558,0,20,20,81,1,ci82,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_347579_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
,,,,u,0.2656,0,21,21,15,1,ci16,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_626058_autoscaled.jpg,5e48122927eb23000af799c7,2022-06-14_13h24.36.512,group_task,2020.2.10,Win32,60
