groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,3.9839,space,10.7337,u,1.5948,0,0,0,1,1,ci02,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_187033_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.0629,0,1,1,83,1,ci84,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_383356_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,0.6187,0,2,2,30,1,ci31,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_296889_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.622,0,3,3,27,1,ci28,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_184974_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,1.5483,0,4,4,29,1,ci30,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_270729_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,2.2703,0,5,5,22,1,ci23,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_851879_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.1356,0,6,6,15,1,ci16,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_626058_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.5298,0,7,7,53,1,ci54,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_283998_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,0.6946,0,8,8,105,1,ci106,conservative,ingroup,group,cis/group level cis/base_group_conservativeIngroup_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.9172,0,9,9,34,1,ci35,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_426896_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,1.1312,0,10,10,48,1,ci49,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_906661_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.8042,0,11,11,63,1,ci64,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_583297_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.2338,0,12,12,12,1,ci13,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_495549_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.0296,0,13,13,23,1,ci24,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_920301_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.354,0,14,14,89,1,ci90,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_535284_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,0.9273,0,15,15,54,1,ci55,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_293475_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,1.2283,0,16,16,6,1,ci07,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_312027_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.0749,0,17,17,16,1,ci17,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_630658_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,1.3584,0,18,18,86,1,ci87,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_491143_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.166,0,19,19,37,1,ci38,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_593992_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.6422,0,20,20,80,1,ci81,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_318528_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,0.7602,0,21,21,85,1,ci86,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_462266_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.9384,0,22,22,73,1,ci74,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_952099_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,1.331,0,23,23,57,1,ci58,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_457349_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.1592,0,24,24,98,1,ci99,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_868580_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.1271,0,25,25,33,1,ci34,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_394668_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.8894,0,26,26,4,1,ci05,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_224595_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,0.7109,0,27,27,71,1,ci72,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_887954_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.0807,0,28,28,75,1,ci76,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_119301_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.8194,0,29,29,101,1,ci102,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_924521_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.9822,0,30,30,67,1,ci68,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_662846_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.7771,0,31,31,5,1,ci06,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_244753_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.8105,0,32,32,24,1,ci25,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_986864_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,1.0294,0,33,33,103,1,ci104,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_977450_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.4445,0,34,34,82,1,ci83,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_349939_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,1.8449,0,35,35,31,1,ci32,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_311058_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.7282,0,36,36,56,1,ci57,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_312500_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.1009,0,37,37,20,1,ci21,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_746809_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,0.7677,0,38,38,88,1,ci89,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_518254_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.9457,0,39,39,11,1,ci12,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_481688_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.0855,0,40,40,39,1,ci40,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_643489_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,0.544,0,41,41,35,1,ci36,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_526540_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.4947,0,42,42,77,1,ci78,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_202477_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,1.2441,0,43,43,51,1,ci52,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_569ac8_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,1.893,0,44,44,13,1,ci14,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_505940_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.8265,0,45,45,55,1,ci56,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_309610_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.8987,0,46,46,107,1,ci108,liberal,ingroup,group,cis/group level cis/base_group_liberalIngroup_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.7936,0,47,47,72,1,ci73,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_929772_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,1.2415,0,48,48,36,1,ci37,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_559539_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,1.0647,0,49,49,76,1,ci77,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_135744_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,u,1.0082,0,50,50,96,1,ci97,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_823586_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.7765,0,51,51,21,1,ci22,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_791214_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.7281,0,52,52,97,1,ci98,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_845263_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
,,,,o,0.6639,0,53,53,59,1,ci60,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_488856_autoscaled.jpg,609020b22e26eb9b220a8530,2022-06-14_11h52.29.485,group_task,2020.2.10,MacIntel,60
