groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,1.4504,space,0.9295,o,0.7828,0,0,0,39,1,ci40,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_643489_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,o,0.4083,0,1,1,58,1,ci59,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_458729_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,o,0.4862,0,2,2,84,1,ci85,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_402893_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,o,0.4643,0,3,3,90,1,ci91,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_551334_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,u,2.8419,0,4,4,62,1,ci63,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_574089_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,u,0.4022,0,5,5,10,1,ci11,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_470750_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,u,0.325,0,6,6,35,1,ci36,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_526540_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,o,0.376,0,7,7,8,1,ci09,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_420235_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,u,0.3614,0,8,8,11,1,ci12,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_481688_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,u,0.281,0,9,9,77,1,ci78,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_202477_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,u,0.3976,0,10,10,54,1,ci55,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_293475_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,u,0.2783,0,11,11,48,1,ci49,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_906661_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,u,0.4279,0,12,12,45,1,ci46,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_882735_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,o,0.4467,0,13,13,56,1,ci57,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_312500_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,o,0.5269,0,14,14,101,1,ci102,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_924521_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,o,0.2614,0,15,15,98,1,ci99,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_868580_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,o,0.2852,0,16,16,103,1,ci104,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_977450_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,u,0.2449,0,17,17,69,1,ci70,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_820737_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,o,0.254,0,18,18,78,1,ci79,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_222143_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,o,0.2766,0,19,19,6,1,ci07,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_312027_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,o,0.2621,0,20,20,44,1,ci45,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_844015_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,o,1.6459,0,21,21,42,1,ci43,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_735257_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,o,0.7945,0,22,22,1,1,ci02,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_187033_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
,,,,u,0.4028,0,23,23,43,1,ci44,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_746324_autoscaled.jpg,60fd61f390016aba98a3d0a8,2022-06-14_13h18.17.814,group_task,2020.2.10,Win32,60
