groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
u,7.184,space,18.0951,o,3.0639,0,0,0,45,1,ci46,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_882735_autoscaled.jpg,581649f0b434f0000184d2a9,2022-06-14_13h36.20.089,group_task,2020.2.10,Win32,60
,,,,o,1.7545,0,1,1,84,1,ci85,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_402893_autoscaled.jpg,581649f0b434f0000184d2a9,2022-06-14_13h36.20.089,group_task,2020.2.10,Win32,60
,,,,u,1.2344,0,2,2,8,1,ci09,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_420235_autoscaled.jpg,581649f0b434f0000184d2a9,2022-06-14_13h36.20.089,group_task,2020.2.10,Win32,60
,,,,u,1.033,0,3,3,97,1,ci98,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_845263_autoscaled.jpg,581649f0b434f0000184d2a9,2022-06-14_13h36.20.089,group_task,2020.2.10,Win32,60
,,,,o,2.1021,0,4,4,99,1,ci100,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_913688_autoscaled.jpg,581649f0b434f0000184d2a9,2022-06-14_13h36.20.089,group_task,2020.2.10,Win32,60
,,,,u,1.2688,0,5,5,92,1,ci93,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_691475_autoscaled.jpg,581649f0b434f0000184d2a9,2022-06-14_13h36.20.089,group_task,2020.2.10,Win32,60
,,,,u,2.4516,0,6,6,60,1,ci61,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_499872_autoscaled.jpg,581649f0b434f0000184d2a9,2022-06-14_13h36.20.089,group_task,2020.2.10,Win32,60
,,,,o,1.9014,0,7,7,83,1,ci84,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_383356_autoscaled.jpg,581649f0b434f0000184d2a9,2022-06-14_13h36.20.089,group_task,2020.2.10,Win32,60
,,,,o,1.4208,0,8,8,42,1,ci43,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_735257_autoscaled.jpg,581649f0b434f0000184d2a9,2022-06-14_13h36.20.089,group_task,2020.2.10,Win32,60
,,,,o,1.6259,0,9,9,19,1,ci20,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_700600_autoscaled.jpg,581649f0b434f0000184d2a9,2022-06-14_13h36.20.089,group_task,2020.2.10,Win32,60
