groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,6.6656,space,10.3207,u,2.6086,0,0,0,79,1,ci80,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_316191_autoscaled.jpg,5f29aacd4eeb0b10914d3dc5,2022-06-14_13h22.23.013,group_task,2020.2.10,Win32,60
,,,,o,1.859,0,1,1,70,1,ci71,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_856223_autoscaled.jpg,5f29aacd4eeb0b10914d3dc5,2022-06-14_13h22.23.013,group_task,2020.2.10,Win32,60
,,,,u,2.9586,0,2,2,18,1,ci19,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_691399_autoscaled.jpg,5f29aacd4eeb0b10914d3dc5,2022-06-14_13h22.23.013,group_task,2020.2.10,Win32,60
,,,,o,3.1439,0,3,3,102,1,ci103,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_930308_autoscaled.jpg,5f29aacd4eeb0b10914d3dc5,2022-06-14_13h22.23.013,group_task,2020.2.10,Win32,60
,,,,o,0.8517,0,4,4,73,1,ci74,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_952099_autoscaled.jpg,5f29aacd4eeb0b10914d3dc5,2022-06-14_13h22.23.013,group_task,2020.2.10,Win32,60
,,,,u,0.6992,0,5,5,38,1,ci39,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_612237_autoscaled.jpg,5f29aacd4eeb0b10914d3dc5,2022-06-14_13h22.23.013,group_task,2020.2.10,Win32,60
,,,,u,0.736,0,6,6,94,1,ci95,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_798785_autoscaled.jpg,5f29aacd4eeb0b10914d3dc5,2022-06-14_13h22.23.013,group_task,2020.2.10,Win32,60
,,,,u,2.0662,0,7,7,50,1,ci51,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_938082_autoscaled.jpg,5f29aacd4eeb0b10914d3dc5,2022-06-14_13h22.23.013,group_task,2020.2.10,Win32,60
,,,,u,1.0317,0,8,8,21,1,ci22,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_791214_autoscaled.jpg,5f29aacd4eeb0b10914d3dc5,2022-06-14_13h22.23.013,group_task,2020.2.10,Win32,60
,,,,o,3.9348,0,9,9,91,1,ci92,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_601743_autoscaled.jpg,5f29aacd4eeb0b10914d3dc5,2022-06-14_13h22.23.013,group_task,2020.2.10,Win32,60
