groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,7.4146,space,27.6794,u,5.9077,0,0,0,82,1,ci83,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_349939_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,u,5.4668,0,1,1,63,1,ci64,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_583297_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,8.7879,0,2,2,80,1,ci81,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_318528_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,u,3.6489,0,3,3,83,1,ci84,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_383356_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,u,3.2573,0,4,4,87,1,ci88,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_506265_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,2.1693,0,5,5,73,1,ci74,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_952099_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,2.3478,0,6,6,10,1,ci11,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_470750_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,u,2.0689,0,7,7,57,1,ci58,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_457349_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,4.7385,0,8,8,4,1,ci05,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_224595_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,2.439,0,9,9,84,1,ci85,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_402893_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,1.1644,0,10,10,74,1,ci75,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_962973_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,2.115,0,11,11,103,1,ci104,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_977450_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,3.7128,0,12,12,65,1,ci66,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_644305_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,3.8236,0,13,13,62,1,ci63,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_574089_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,u,1.0693,0,14,14,101,1,ci102,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_924521_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,u,1.1593,0,15,15,79,1,ci80,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_316191_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,1.6234,0,16,16,27,1,ci28,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_184974_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,1.1641,0,17,17,68,1,ci69,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_806540_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,1.3819,0,18,18,85,1,ci86,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_462266_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,u,1.1099,0,19,19,75,1,ci76,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_119301_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,u,1.6413,0,20,20,32,1,ci33,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_362980_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,1.3051,0,21,21,67,1,ci68,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_662846_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,u,1.5708,0,22,22,13,1,ci14,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_505940_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,1.3436,0,23,23,38,1,ci39,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_612237_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,2.035,0,24,24,22,1,ci23,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_851879_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,1.1586,0,25,25,19,1,ci20,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_700600_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,1.9427,0,26,26,8,1,ci09,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_420235_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,1.1662,0,27,27,70,1,ci71,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_856223_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
,,,,o,1.222,0,28,28,30,1,ci31,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_296889_autoscaled.jpg,5f0d2ad60ad0d6730c380b05,2022-06-14_13h36.00.437,group_task,2020.2.10,Win32,60
