groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,5.7197,space,4.2009,o,1.0823,0,0,0,66,1,ci67,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_648338_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,1.449,0,1,1,88,1,ci89,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_518254_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.5868,0,2,2,1,1,ci02,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_187033_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.7143,0,3,3,43,1,ci44,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_746324_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.9505,0,4,4,60,1,ci61,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_499872_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.7286,0,5,5,7,1,ci08,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_384630_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.6188,0,6,6,21,1,ci22,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_791214_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.7828,0,7,7,78,1,ci79,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_222143_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.6343,0,8,8,81,1,ci82,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_347579_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.6576,0,9,9,99,1,ci100,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_913688_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.5712,0,10,10,50,1,ci51,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_938082_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.627,0,11,11,52,1,ci53,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_247453_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.8876,0,12,12,22,1,ci23,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_851879_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.6169,0,13,13,49,1,ci50,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_914661_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.8141,0,14,14,96,1,ci97,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_823586_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.4654,0,15,15,106,1,ci107,conservative,outgroup,group,cis/group level cis/base_group_conservativeOutgroup_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.5104,0,16,16,57,1,ci58,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_457349_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.7833,0,17,17,6,1,ci07,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_312027_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.4499,0,18,18,72,1,ci73,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_929772_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.399,0,19,19,27,1,ci28,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_184974_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.5418,0,20,20,73,1,ci74,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_952099_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.0372,0,21,21,9,1,ci10,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_435390_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.5044,0,22,22,100,1,ci101,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_920112_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.3779,0,23,23,28,1,ci29,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_258288_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.4993,0,24,24,46,1,ci47,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_899909_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.4702,0,25,25,84,1,ci85,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_402893_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.516,0,26,26,4,1,ci05,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_224595_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.4745,0,27,27,23,1,ci24,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_920301_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.4828,0,28,28,75,1,ci76,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_119301_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.4163,0,29,29,5,1,ci06,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_244753_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,o,0.4009,0,30,30,101,1,ci102,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_924521_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.6333,0,31,31,94,1,ci95,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_798785_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.4244,0,32,32,38,1,ci39,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_612237_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.5194,0,33,33,77,1,ci78,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_202477_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.4189,0,34,34,25,1,ci26,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_126568_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.3744,0,35,35,10,1,ci11,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_470750_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.3987,0,36,36,108,1,ci109,liberal,outgroup,group,cis/group level cis/base_group_liberalOutgroup_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.4022,0,37,37,71,1,ci72,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_887954_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
,,,,u,0.3764,0,38,38,85,1,ci86,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_462266_autoscaled.jpg,60a48fd2c46d793c5340f03e,2022-06-14_10h33.25.088,group_task,2020.2.10,Win32,60
