groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,9.9951,space,17.4664,u,2.0726,0,0,0,20,1,ci21,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_746809_autoscaled.jpg,62a74b5136555a52d4911cac,2022-06-14_12h26.09.682,group_task,2020.2.10,Win32,60
,,,,u,4.6312,0,1,1,7,1,ci08,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_384630_autoscaled.jpg,62a74b5136555a52d4911cac,2022-06-14_12h26.09.682,group_task,2020.2.10,Win32,60
,,,,u,1.601,0,2,2,28,1,ci29,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_258288_autoscaled.jpg,62a74b5136555a52d4911cac,2022-06-14_12h26.09.682,group_task,2020.2.10,Win32,60
,,,,u,2.9023,0,3,3,57,1,ci58,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_457349_autoscaled.jpg,62a74b5136555a52d4911cac,2022-06-14_12h26.09.682,group_task,2020.2.10,Win32,60
,,,,u,3.0528,0,4,4,29,1,ci30,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_270729_autoscaled.jpg,62a74b5136555a52d4911cac,2022-06-14_12h26.09.682,group_task,2020.2.10,Win32,60
,,,,o,5.8658,0,5,5,10,1,ci11,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_470750_autoscaled.jpg,62a74b5136555a52d4911cac,2022-06-14_12h26.09.682,group_task,2020.2.10,Win32,60
,,,,u,2.1851,0,6,6,98,1,ci99,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_868580_autoscaled.jpg,62a74b5136555a52d4911cac,2022-06-14_12h26.09.682,group_task,2020.2.10,Win32,60
,,,,u,1.5689,0,7,7,91,1,ci92,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_601743_autoscaled.jpg,62a74b5136555a52d4911cac,2022-06-14_12h26.09.682,group_task,2020.2.10,Win32,60
,,,,u,3.9952,0,8,8,85,1,ci86,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_462266_autoscaled.jpg,62a74b5136555a52d4911cac,2022-06-14_12h26.09.682,group_task,2020.2.10,Win32,60
,,,,u,0.9069,0,9,9,80,1,ci81,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_318528_autoscaled.jpg,62a74b5136555a52d4911cac,2022-06-14_12h26.09.682,group_task,2020.2.10,Win32,60
,,,,u,0.9678,0,10,10,17,1,ci18,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_688723_autoscaled.jpg,62a74b5136555a52d4911cac,2022-06-14_12h26.09.682,group_task,2020.2.10,Win32,60
,,,,u,1.0162,0,11,11,37,1,ci38,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_593992_autoscaled.jpg,62a74b5136555a52d4911cac,2022-06-14_12h26.09.682,group_task,2020.2.10,Win32,60
