groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
u,2.3276,space,7.9981,u,4.4224,0,0,0,52,1,ci53,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_247453_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,1.0592,0,1,1,78,1,ci79,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_222143_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,u,1.9162,0,2,2,57,1,ci58,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_457349_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,0.7669,0,3,3,49,1,ci50,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_914661_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,1.3242,0,4,4,105,1,ci106,conservative,ingroup,group,cis/group level cis/base_group_conservativeIngroup_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,1.4369,0,5,5,67,1,ci68,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_662846_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,2.6181,0,6,6,33,1,ci34,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_394668_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,2.2336,0,7,7,22,1,ci23,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_851879_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,u,0.9013,0,8,8,69,1,ci70,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_820737_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,u,1.4167,0,9,9,62,1,ci63,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_574089_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,u,1.4688,0,10,10,95,1,ci96,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_809176_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,u,1.3002,0,11,11,73,1,ci74,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_952099_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,0.7167,0,12,12,93,1,ci94,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_758732_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,0.924,0,13,13,54,1,ci55,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_293475_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,1.9383,0,14,14,75,1,ci76,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_119301_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,1.5625,0,15,15,61,1,ci62,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_537785_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,u,1.2388,0,16,16,12,1,ci13,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_495549_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,1.1172,0,17,17,99,1,ci100,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_913688_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,0.7357,0,18,18,108,1,ci109,liberal,outgroup,group,cis/group level cis/base_group_liberalOutgroup_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,u,3.2512,0,19,19,56,1,ci57,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_312500_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,1.067,0,20,20,53,1,ci54,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_283998_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,0.8516,0,21,21,94,1,ci95,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_798785_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,u,2.2061,0,22,22,9,1,ci10,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_435390_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,1.3588,0,23,23,2,1,ci03,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_196857_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,1.2006,0,24,24,5,1,ci06,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_244753_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,3.2375,0,25,25,32,1,ci33,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_362980_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,1.2026,0,26,26,58,1,ci59,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_458729_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,u,1.4897,0,27,27,63,1,ci64,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_583297_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,u,0.9671,0,28,28,10,1,ci11,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_470750_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,1.3057,0,29,29,84,1,ci85,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_402893_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,u,1.8674,0,30,30,19,1,ci20,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_700600_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,u,1.7671,0,31,31,96,1,ci97,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_823586_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
,,,,o,0.6352,0,32,32,80,1,ci81,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_318528_autoscaled.jpg,61719b6647a50088271d4ec9,2022-06-14_13h25.57.810,group_task,2020.2.10,Win32,60
