groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,4.3545,space,7.0488,o,2.3775,0,0,0,36,1,ci37,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_559539_autoscaled.jpg,596c36966956b40001c59d4e,2022-06-14_13h12.40.016,group_task,2020.2.10,MacIntel,60
,,,,o,1.3946,0,1,1,44,1,ci45,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_844015_autoscaled.jpg,596c36966956b40001c59d4e,2022-06-14_13h12.40.016,group_task,2020.2.10,MacIntel,60
,,,,u,1.1697,0,2,2,98,1,ci99,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_868580_autoscaled.jpg,596c36966956b40001c59d4e,2022-06-14_13h12.40.016,group_task,2020.2.10,MacIntel,60
,,,,u,1.8804,0,3,3,87,1,ci88,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_506265_autoscaled.jpg,596c36966956b40001c59d4e,2022-06-14_13h12.40.016,group_task,2020.2.10,MacIntel,60
,,,,o,0.7131,0,4,4,6,1,ci07,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_312027_autoscaled.jpg,596c36966956b40001c59d4e,2022-06-14_13h12.40.016,group_task,2020.2.10,MacIntel,60
,,,,o,1.1116,0,5,5,68,1,ci69,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_806540_autoscaled.jpg,596c36966956b40001c59d4e,2022-06-14_13h12.40.016,group_task,2020.2.10,MacIntel,60
,,,,u,0.9125,0,6,6,75,1,ci76,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_119301_autoscaled.jpg,596c36966956b40001c59d4e,2022-06-14_13h12.40.016,group_task,2020.2.10,MacIntel,60
,,,,o,1.2133,0,7,7,96,1,ci97,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_823586_autoscaled.jpg,596c36966956b40001c59d4e,2022-06-14_13h12.40.016,group_task,2020.2.10,MacIntel,60
,,,,u,0.9763,0,8,8,22,1,ci23,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_851879_autoscaled.jpg,596c36966956b40001c59d4e,2022-06-14_13h12.40.016,group_task,2020.2.10,MacIntel,60
,,,,o,0.9415,0,9,9,35,1,ci36,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_526540_autoscaled.jpg,596c36966956b40001c59d4e,2022-06-14_13h12.40.016,group_task,2020.2.10,MacIntel,60
,,,,u,1.0672,0,10,10,57,1,ci58,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_457349_autoscaled.jpg,596c36966956b40001c59d4e,2022-06-14_13h12.40.016,group_task,2020.2.10,MacIntel,60
,,,,o,1.2509,0,11,11,19,1,ci20,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_700600_autoscaled.jpg,596c36966956b40001c59d4e,2022-06-14_13h12.40.016,group_task,2020.2.10,MacIntel,60
