groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
u,1.2982,space,0.5638,u,0.8659,0,0,0,89,1,ci90,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_535284_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,o,1.2614,0,1,1,13,1,ci14,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_505940_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,o,1.1293,0,2,2,72,1,ci73,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_929772_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,o,1.4531,0,3,3,58,1,ci59,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_458729_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,u,0.677,0,4,4,85,1,ci86,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_462266_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,u,1.1749,0,5,5,92,1,ci93,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_691475_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,u,0.9463,0,6,6,80,1,ci81,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_318528_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,o,0.745,0,7,7,74,1,ci75,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_962973_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,u,0.6133,0,8,8,34,1,ci35,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_426896_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,o,0.6941,0,9,9,106,1,ci107,conservative,outgroup,group,cis/group level cis/base_group_conservativeOutgroup_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,u,0.6408,0,10,10,43,1,ci44,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_746324_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,o,0.5638,0,11,11,30,1,ci31,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_296889_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,u,0.5788,0,12,12,99,1,ci100,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_913688_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,o,0.5692,0,13,13,54,1,ci55,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_293475_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,u,0.6111,0,14,14,61,1,ci62,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_537785_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,o,0.7228,0,15,15,78,1,ci79,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_222143_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,u,0.4961,0,16,16,57,1,ci58,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_457349_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,o,0.5069,0,17,17,42,1,ci43,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_735257_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
,,,,u,0.5792,0,18,18,62,1,ci63,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_574089_autoscaled.jpg,62a378da05bc514b69023189,2022-06-14_13h36.44.621,group_task,2020.2.10,MacIntel,60
