groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
u,4.7205,space,7.0205,u,1.5053,0,0,0,66,1,ci67,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_648338_autoscaled.jpg,606e4f5c7b11218e3040a35e,2022-06-14_10h27.53.587,group_task,2020.2.10,Win32,60
,,,,u,0.565,0,1,1,95,1,ci96,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_809176_autoscaled.jpg,606e4f5c7b11218e3040a35e,2022-06-14_10h27.53.587,group_task,2020.2.10,Win32,60
,,,,o,0.3553,0,2,2,102,1,ci103,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_930308_autoscaled.jpg,606e4f5c7b11218e3040a35e,2022-06-14_10h27.53.587,group_task,2020.2.10,Win32,60
,,,,u,0.469,0,3,3,41,1,ci42,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_706497_autoscaled.jpg,606e4f5c7b11218e3040a35e,2022-06-14_10h27.53.587,group_task,2020.2.10,Win32,60
,,,,o,0.6389,0,4,4,35,1,ci36,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_526540_autoscaled.jpg,606e4f5c7b11218e3040a35e,2022-06-14_10h27.53.587,group_task,2020.2.10,Win32,60
,,,,o,0.3913,0,5,5,83,1,ci84,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_383356_autoscaled.jpg,606e4f5c7b11218e3040a35e,2022-06-14_10h27.53.587,group_task,2020.2.10,Win32,60
,,,,u,0.3722,0,6,6,84,1,ci85,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_402893_autoscaled.jpg,606e4f5c7b11218e3040a35e,2022-06-14_10h27.53.587,group_task,2020.2.10,Win32,60
,,,,o,0.4436,0,7,7,97,1,ci98,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_845263_autoscaled.jpg,606e4f5c7b11218e3040a35e,2022-06-14_10h27.53.587,group_task,2020.2.10,Win32,60
,,,,u,0.3604,0,8,8,59,1,ci60,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_488856_autoscaled.jpg,606e4f5c7b11218e3040a35e,2022-06-14_10h27.53.587,group_task,2020.2.10,Win32,60
,,,,u,0.746,0,9,9,19,1,ci20,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_700600_autoscaled.jpg,606e4f5c7b11218e3040a35e,2022-06-14_10h27.53.587,group_task,2020.2.10,Win32,60
,,,,o,0.5267,0,10,10,43,1,ci44,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_746324_autoscaled.jpg,606e4f5c7b11218e3040a35e,2022-06-14_10h27.53.587,group_task,2020.2.10,Win32,60
