groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
u,8.5017,space,12.5261,o,2.8814,0,0,0,12,1,ci13,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_495549_autoscaled.jpg,613e19b189b05f24b6206290,2022-06-14_10h24.29.334,group_task,2020.2.10,MacIntel,60
,,,,o,3.0797,0,1,1,49,1,ci50,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_914661_autoscaled.jpg,613e19b189b05f24b6206290,2022-06-14_10h24.29.334,group_task,2020.2.10,MacIntel,60
,,,,u,1.815,0,2,2,14,1,ci15,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_509033_autoscaled.jpg,613e19b189b05f24b6206290,2022-06-14_10h24.29.334,group_task,2020.2.10,MacIntel,60
,,,,u,1.8625,0,3,3,58,1,ci59,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_458729_autoscaled.jpg,613e19b189b05f24b6206290,2022-06-14_10h24.29.334,group_task,2020.2.10,MacIntel,60
,,,,u,1.5633,0,4,4,71,1,ci72,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_887954_autoscaled.jpg,613e19b189b05f24b6206290,2022-06-14_10h24.29.334,group_task,2020.2.10,MacIntel,60
,,,,o,1.0489,0,5,5,74,1,ci75,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_962973_autoscaled.jpg,613e19b189b05f24b6206290,2022-06-14_10h24.29.334,group_task,2020.2.10,MacIntel,60
,,,,u,2.6972,0,6,6,45,1,ci46,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_882735_autoscaled.jpg,613e19b189b05f24b6206290,2022-06-14_10h24.29.334,group_task,2020.2.10,MacIntel,60
,,,,o,1.1281,0,7,7,26,1,ci27,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_120204_autoscaled.jpg,613e19b189b05f24b6206290,2022-06-14_10h24.29.334,group_task,2020.2.10,MacIntel,60
,,,,u,2.0263,0,8,8,8,1,ci09,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_420235_autoscaled.jpg,613e19b189b05f24b6206290,2022-06-14_10h24.29.334,group_task,2020.2.10,MacIntel,60
,,,,u,0.9616,0,9,9,57,1,ci58,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_457349_autoscaled.jpg,613e19b189b05f24b6206290,2022-06-14_10h24.29.334,group_task,2020.2.10,MacIntel,60
