groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
o,4.5237,space,8.4103,o,1.9,0,0,0,108,1,ci109,liberal,outgroup,group,cis/group level cis/base_group_liberalOutgroup_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,u,1.6725,0,1,1,74,1,ci75,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_962973_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,u,1.6737,0,2,2,103,1,ci104,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_977450_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,o,0.7586,0,3,3,80,1,ci81,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_318528_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,o,0.9848,0,4,4,46,1,ci47,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_899909_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,o,1.9879,0,5,5,41,1,ci42,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_706497_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,u,0.9487,0,6,6,81,1,ci82,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_347579_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,u,1.0614,0,7,7,33,1,ci34,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_394668_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,u,1.1192,0,8,8,84,1,ci85,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_402893_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,o,0.7813,0,9,9,35,1,ci36,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_526540_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,o,1.1907,0,10,10,97,1,ci98,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_845263_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,u,0.8715,0,11,11,57,1,ci58,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_457349_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,u,1.5018,0,12,12,65,1,ci66,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_644305_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,o,0.8528,0,13,13,44,1,ci45,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_844015_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,u,1.2025,0,14,14,58,1,ci59,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_458729_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,o,0.7602,0,15,15,88,1,ci89,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_518254_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
,,,,o,1.3152,0,16,16,20,1,ci21,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_746809_autoscaled.jpg,5af7094225561e00013acd70,2022-06-14_13h01.33.812,group_task,2020.2.10,Win32,60
