start_task.keys,start_task.rt,charRating.keys,charRating.rt,amp_loop.thisRepN,amp_loop.thisTrialN,amp_loop.thisN,amp_loop.thisIndex,amp_loop.ran,stimPath,stimID,charPath,charID,noiseID,generatorPol,ciGroup,ciLevel,prolificID,date,expName,psychopyVersion,OS,frameRate
space,42.9576,2,6.451,0,0,0,82,1,cis/liberal - outgroup/base_idNo_349939_autoscaled.jpg,stim083,chinese characters/Slide83.jpeg,char083,noise_pattern.jpg,liberal,outgroup,individual,62686c6e90a0f6fe0a6c646a,2022-06-14_23h46.22.353,study 2 - amp,2020.2.10,Win32,60
,,2,6.184,0,1,1,73,1,cis/liberal - ingroup/base_idNo_952099_autoscaled.jpg,stim074,chinese characters/Slide74.jpeg,char074,noise_pattern.jpg,liberal,ingroup,individual,62686c6e90a0f6fe0a6c646a,2022-06-14_23h46.22.353,study 2 - amp,2020.2.10,Win32,60
,,2,5.8094,0,2,2,69,1,cis/liberal - ingroup/base_idNo_820737_autoscaled.jpg,stim070,chinese characters/Slide70.jpeg,char070,noise_pattern.jpg,liberal,ingroup,individual,62686c6e90a0f6fe0a6c646a,2022-06-14_23h46.22.353,study 2 - amp,2020.2.10,Win32,60
,,3,5.6501,0,3,3,26,1,cis/conservative - outgroup/base_idNo_126568_autoscaled.jpg,stim027,chinese characters/Slide27.jpeg,char027,noise_pattern.jpg,conservative,outgroup,individual,62686c6e90a0f6fe0a6c646a,2022-06-14_23h46.22.353,study 2 - amp,2020.2.10,Win32,60
,,3,3.0204,0,4,4,27,1,cis/conservative - outgroup/base_idNo_184974_autoscaled.jpg,stim028,chinese characters/Slide28.jpeg,char028,noise_pattern.jpg,conservative,outgroup,individual,62686c6e90a0f6fe0a6c646a,2022-06-14_23h46.22.353,study 2 - amp,2020.2.10,Win32,60
,,3,1.7528,0,5,5,81,1,cis/liberal - outgroup/base_idNo_347579_autoscaled.jpg,stim082,chinese characters/Slide82.jpeg,char082,noise_pattern.jpg,liberal,outgroup,individual,62686c6e90a0f6fe0a6c646a,2022-06-14_23h46.22.353,study 2 - amp,2020.2.10,Win32,60
,,3,5.2117,0,6,6,44,1,cis/conservative - outgroup/base_idNo_844015_autoscaled.jpg,stim045,chinese characters/Slide45.jpeg,char045,noise_pattern.jpg,conservative,outgroup,individual,62686c6e90a0f6fe0a6c646a,2022-06-14_23h46.22.353,study 2 - amp,2020.2.10,Win32,60
,,3,1.2729,0,7,7,38,1,cis/conservative - outgroup/base_idNo_612237_autoscaled.jpg,stim039,chinese characters/Slide39.jpeg,char039,noise_pattern.jpg,conservative,outgroup,individual,62686c6e90a0f6fe0a6c646a,2022-06-14_23h46.22.353,study 2 - amp,2020.2.10,Win32,60
,,3,1.1945,0,8,8,11,1,cis/conservative - ingroup/base_idNo_481688_autoscaled.jpg,stim012,chinese characters/Slide12.jpeg,char012,noise_pattern.jpg,conservative,ingroup,individual,62686c6e90a0f6fe0a6c646a,2022-06-14_23h46.22.353,study 2 - amp,2020.2.10,Win32,60
,,3,0.6733,0,9,9,59,1,cis/liberal - ingroup/base_idNo_488856_autoscaled.jpg,stim060,chinese characters/Slide60.jpeg,char060,noise_pattern.jpg,liberal,ingroup,individual,62686c6e90a0f6fe0a6c646a,2022-06-14_23h46.22.353,study 2 - amp,2020.2.10,Win32,60
,,3,0.6505,0,10,10,49,1,cis/conservative - outgroup/base_idNo_914661_autoscaled.jpg,stim050,chinese characters/Slide50.jpeg,char050,noise_pattern.jpg,conservative,outgroup,individual,62686c6e90a0f6fe0a6c646a,2022-06-14_23h46.22.353,study 2 - amp,2020.2.10,Win32,60
,,3,0.5484,0,11,11,53,1,cis/liberal - ingroup/base_idNo_283998_autoscaled.jpg,stim054,chinese characters/Slide54.jpeg,char054,noise_pattern.jpg,liberal,ingroup,individual,62686c6e90a0f6fe0a6c646a,2022-06-14_23h46.22.353,study 2 - amp,2020.2.10,Win32,60
,,3,0.5497,0,12,12,78,1,cis/liberal - outgroup/base_idNo_222143_autoscaled.jpg,stim079,chinese characters/Slide79.jpeg,char079,noise_pattern.jpg,liberal,outgroup,individual,62686c6e90a0f6fe0a6c646a,2022-06-14_23h46.22.353,study 2 - amp,2020.2.10,Win32,60
