start_task.keys,start_task.rt,charRating.keys,charRating.rt,amp_loop.thisRepN,amp_loop.thisTrialN,amp_loop.thisN,amp_loop.thisIndex,amp_loop.ran,stimPath,stimID,charPath,charID,noiseID,generatorPol,ciGroup,ciLevel,prolificID,date,expName,psychopyVersion,OS,frameRate
space,75.0604,3,5.4345,0,0,0,37,1,cis/conservative - outgroup/base_idNo_593992_autoscaled.jpg,stim038,chinese characters/Slide38.jpeg,char038,noise_pattern.jpg,conservative,outgroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,2,1.3305,0,1,1,23,1,cis/conservative - ingroup/base_idNo_920301_autoscaled.jpg,stim024,chinese characters/Slide24.jpeg,char024,noise_pattern.jpg,conservative,ingroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,2,2.7881,0,2,2,3,1,cis/conservative - ingroup/base_idNo_215299_autoscaled.jpg,stim004,chinese characters/Slide4.jpeg,char004,noise_pattern.jpg,conservative,ingroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,2,4.7701,0,3,3,86,1,cis/liberal - outgroup/base_idNo_491143_autoscaled.jpg,stim087,chinese characters/Slide87.jpeg,char087,noise_pattern.jpg,liberal,outgroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,3,5.2017,0,4,4,76,1,cis/liberal - outgroup/base_idNo_135744_autoscaled.jpg,stim077,chinese characters/Slide77.jpeg,char077,noise_pattern.jpg,liberal,outgroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,3,4.1353,0,5,5,22,1,cis/conservative - ingroup/base_idNo_851879_autoscaled.jpg,stim023,chinese characters/Slide23.jpeg,char023,noise_pattern.jpg,conservative,ingroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,3,3.4321,0,6,6,9,1,cis/conservative - ingroup/base_idNo_435390_autoscaled.jpg,stim010,chinese characters/Slide10.jpeg,char010,noise_pattern.jpg,conservative,ingroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,3,1.7359,0,7,7,70,1,cis/liberal - ingroup/base_idNo_856223_autoscaled.jpg,stim071,chinese characters/Slide71.jpeg,char071,noise_pattern.jpg,liberal,ingroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,4,2.3642,0,8,8,35,1,cis/conservative - outgroup/base_idNo_526540_autoscaled.jpg,stim036,chinese characters/Slide36.jpeg,char036,noise_pattern.jpg,conservative,outgroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,4,1.3356,0,9,9,32,1,cis/conservative - outgroup/base_idNo_362980_autoscaled.jpg,stim033,chinese characters/Slide33.jpeg,char033,noise_pattern.jpg,conservative,outgroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,4,1.1716,0,10,10,68,1,cis/liberal - ingroup/base_idNo_806540_autoscaled.jpg,stim069,chinese characters/Slide69.jpeg,char069,noise_pattern.jpg,liberal,ingroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,4,1.4553,0,11,11,39,1,cis/conservative - outgroup/base_idNo_643489_autoscaled.jpg,stim040,chinese characters/Slide40.jpeg,char040,noise_pattern.jpg,conservative,outgroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,4,1.6024,0,12,12,18,1,cis/conservative - ingroup/base_idNo_691399_autoscaled.jpg,stim019,chinese characters/Slide19.jpeg,char019,noise_pattern.jpg,conservative,ingroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,4,2.1623,0,13,13,65,1,cis/liberal - ingroup/base_idNo_644305_autoscaled.jpg,stim066,chinese characters/Slide66.jpeg,char066,noise_pattern.jpg,liberal,ingroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,4,1.0855,0,14,14,26,1,cis/conservative - outgroup/base_idNo_126568_autoscaled.jpg,stim027,chinese characters/Slide27.jpeg,char027,noise_pattern.jpg,conservative,outgroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,4,0.9182,0,15,15,103,1,cis/liberal - outgroup/base_idNo_977450_autoscaled.jpg,stim104,chinese characters/Slide104.jpeg,char104,noise_pattern.jpg,liberal,outgroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,4,0.5233,0,16,16,93,1,cis/liberal - outgroup/base_idNo_758732_autoscaled.jpg,stim094,chinese characters/Slide94.jpeg,char094,noise_pattern.jpg,liberal,outgroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
,,4,0.7308,0,17,17,44,1,cis/conservative - outgroup/base_idNo_844015_autoscaled.jpg,stim045,chinese characters/Slide45.jpeg,char045,noise_pattern.jpg,conservative,outgroup,individual,62867b51e71606f873d41b05,2022-06-15_02h08.16.886,study 2 - amp,2020.2.10,Win32,60
