start_task.keys,start_task.rt,charRating.keys,charRating.rt,amp_loop.thisRepN,amp_loop.thisTrialN,amp_loop.thisN,amp_loop.thisIndex,amp_loop.ran,stimPath,stimID,charPath,charID,noiseID,generatorPol,ciGroup,ciLevel,prolificID,date,expName,psychopyVersion,OS,frameRate
space,15.28,2,3.4853,0,0,0,61,1,cis/liberal - ingroup/base_idNo_537785_autoscaled.jpg,stim062,chinese characters/Slide62.jpeg,char062,noise_pattern.jpg,liberal,ingroup,individual,60736fe442136baac88c3415,2022-06-14_20h00.41.558,study 2 - amp,2020.2.10,Win32,60
,,2,1.5534,0,1,1,70,1,cis/liberal - ingroup/base_idNo_856223_autoscaled.jpg,stim071,chinese characters/Slide71.jpeg,char071,noise_pattern.jpg,liberal,ingroup,individual,60736fe442136baac88c3415,2022-06-14_20h00.41.558,study 2 - amp,2020.2.10,Win32,60
,,2,2.7486,0,2,2,16,1,cis/conservative - ingroup/base_idNo_630658_autoscaled.jpg,stim017,chinese characters/Slide17.jpeg,char017,noise_pattern.jpg,conservative,ingroup,individual,60736fe442136baac88c3415,2022-06-14_20h00.41.558,study 2 - amp,2020.2.10,Win32,60
,,2,2.3019,0,3,3,8,1,cis/conservative - ingroup/base_idNo_420235_autoscaled.jpg,stim009,chinese characters/Slide9.jpeg,char009,noise_pattern.jpg,conservative,ingroup,individual,60736fe442136baac88c3415,2022-06-14_20h00.41.558,study 2 - amp,2020.2.10,Win32,60
,,2,2.0864,0,4,4,51,1,cis/liberal - ingroup/base_idNo_247453_autoscaled.jpg,stim052,chinese characters/Slide52.jpeg,char052,noise_pattern.jpg,liberal,ingroup,individual,60736fe442136baac88c3415,2022-06-14_20h00.41.558,study 2 - amp,2020.2.10,Win32,60
,,2,2.0036,0,5,5,104,1,cis/liberal - outgroup/base_idNo_997890_autoscaled.jpg,stim105,chinese characters/Slide105.jpeg,char105,noise_pattern.jpg,liberal,outgroup,individual,60736fe442136baac88c3415,2022-06-14_20h00.41.558,study 2 - amp,2020.2.10,Win32,60
,,2,1.5258,0,6,6,96,1,cis/liberal - outgroup/base_idNo_823586_autoscaled.jpg,stim097,chinese characters/Slide97.jpeg,char097,noise_pattern.jpg,liberal,outgroup,individual,60736fe442136baac88c3415,2022-06-14_20h00.41.558,study 2 - amp,2020.2.10,Win32,60
,,2,0.8379,0,7,7,13,1,cis/conservative - ingroup/base_idNo_505940_autoscaled.jpg,stim014,chinese characters/Slide14.jpeg,char014,noise_pattern.jpg,conservative,ingroup,individual,60736fe442136baac88c3415,2022-06-14_20h00.41.558,study 2 - amp,2020.2.10,Win32,60
,,2,0.8083,0,8,8,56,1,cis/liberal - ingroup/base_idNo_312500_autoscaled.jpg,stim057,chinese characters/Slide57.jpeg,char057,noise_pattern.jpg,liberal,ingroup,individual,60736fe442136baac88c3415,2022-06-14_20h00.41.558,study 2 - amp,2020.2.10,Win32,60
,,2,1.3242,0,9,9,0,1,cis/conservative - ingroup/base_idNo_184154_autoscaled.jpg,stim001,chinese characters/Slide1.jpeg,char001,noise_pattern.jpg,conservative,ingroup,individual,60736fe442136baac88c3415,2022-06-14_20h00.41.558,study 2 - amp,2020.2.10,Win32,60
