start_task.keys,start_task.rt,charRating.keys,charRating.rt,amp_loop.thisRepN,amp_loop.thisTrialN,amp_loop.thisN,amp_loop.thisIndex,amp_loop.ran,stimPath,stimID,charPath,charID,noiseID,generatorPol,ciGroup,ciLevel,prolificID,date,expName,psychopyVersion,OS,frameRate
space,17.2884,3,2.7737,0,0,0,30,1,cis/conservative - outgroup/base_idNo_296889_autoscaled.jpg,stim031,chinese characters/Slide31.jpeg,char031,noise_pattern.jpg,conservative,outgroup,individual,5e52d0122f5f952f2a7b6b28,2022-06-14_23h30.47.495,study 2 - amp,2020.2.10,Win32,60
,,2,1.0704,0,1,1,46,1,cis/conservative - outgroup/base_idNo_899909_autoscaled.jpg,stim047,chinese characters/Slide47.jpeg,char047,noise_pattern.jpg,conservative,outgroup,individual,5e52d0122f5f952f2a7b6b28,2022-06-14_23h30.47.495,study 2 - amp,2020.2.10,Win32,60
,,2,1.1459,0,2,2,106,1,cis/group-level cis/base_group_conservativeOutgroup_autoscaled.jpg,stim107,chinese characters/Slide107.jpeg,char107,noise_pattern.jpg,conservative,outgroup,group,5e52d0122f5f952f2a7b6b28,2022-06-14_23h30.47.495,study 2 - amp,2020.2.10,Win32,60
,,2,0.8573,0,3,3,86,1,cis/liberal - outgroup/base_idNo_491143_autoscaled.jpg,stim087,chinese characters/Slide87.jpeg,char087,noise_pattern.jpg,liberal,outgroup,individual,5e52d0122f5f952f2a7b6b28,2022-06-14_23h30.47.495,study 2 - amp,2020.2.10,Win32,60
,,3,0.7689,0,4,4,6,1,cis/conservative - ingroup/base_idNo_312027_autoscaled.jpg,stim007,chinese characters/Slide7.jpeg,char007,noise_pattern.jpg,conservative,ingroup,individual,5e52d0122f5f952f2a7b6b28,2022-06-14_23h30.47.495,study 2 - amp,2020.2.10,Win32,60
,,3,0.5912,0,5,5,64,1,cis/liberal - ingroup/base_idNo_627839_autoscaled.jpg,stim065,chinese characters/Slide65.jpeg,char065,noise_pattern.jpg,liberal,ingroup,individual,5e52d0122f5f952f2a7b6b28,2022-06-14_23h30.47.495,study 2 - amp,2020.2.10,Win32,60
,,2,0.8216,0,6,6,38,1,cis/conservative - outgroup/base_idNo_612237_autoscaled.jpg,stim039,chinese characters/Slide39.jpeg,char039,noise_pattern.jpg,conservative,outgroup,individual,5e52d0122f5f952f2a7b6b28,2022-06-14_23h30.47.495,study 2 - amp,2020.2.10,Win32,60
,,2,1.0548,0,7,7,95,1,cis/liberal - outgroup/base_idNo_809176_autoscaled.jpg,stim096,chinese characters/Slide96.jpeg,char096,noise_pattern.jpg,liberal,outgroup,individual,5e52d0122f5f952f2a7b6b28,2022-06-14_23h30.47.495,study 2 - amp,2020.2.10,Win32,60
,,3,0.9264,0,8,8,81,1,cis/liberal - outgroup/base_idNo_347579_autoscaled.jpg,stim082,chinese characters/Slide82.jpeg,char082,noise_pattern.jpg,liberal,outgroup,individual,5e52d0122f5f952f2a7b6b28,2022-06-14_23h30.47.495,study 2 - amp,2020.2.10,Win32,60
,,4,0.8272,0,9,9,67,1,cis/liberal - ingroup/base_idNo_662846_autoscaled.jpg,stim068,chinese characters/Slide68.jpeg,char068,noise_pattern.jpg,liberal,ingroup,individual,5e52d0122f5f952f2a7b6b28,2022-06-14_23h30.47.495,study 2 - amp,2020.2.10,Win32,60
,,2,0.7665,0,10,10,51,1,cis/liberal - ingroup/base_idNo_247453_autoscaled.jpg,stim052,chinese characters/Slide52.jpeg,char052,noise_pattern.jpg,liberal,ingroup,individual,5e52d0122f5f952f2a7b6b28,2022-06-14_23h30.47.495,study 2 - amp,2020.2.10,Win32,60
,,2,0.7527,0,11,11,98,1,cis/liberal - outgroup/base_idNo_868580_autoscaled.jpg,stim099,chinese characters/Slide99.jpeg,char099,noise_pattern.jpg,liberal,outgroup,individual,5e52d0122f5f952f2a7b6b28,2022-06-14_23h30.47.495,study 2 - amp,2020.2.10,Win32,60
,,3,0.8455,0,12,12,85,1,cis/liberal - outgroup/base_idNo_462266_autoscaled.jpg,stim086,chinese characters/Slide86.jpeg,char086,noise_pattern.jpg,liberal,outgroup,individual,5e52d0122f5f952f2a7b6b28,2022-06-14_23h30.47.495,study 2 - amp,2020.2.10,Win32,60
