start_task.keys,start_task.rt,charRating.keys,charRating.rt,amp_loop.thisRepN,amp_loop.thisTrialN,amp_loop.thisN,amp_loop.thisIndex,amp_loop.ran,stimPath,stimID,charPath,charID,noiseID,generatorPol,ciGroup,ciLevel,prolificID,date,expName,psychopyVersion,OS,frameRate
space,19.93341,2,2.44487,0,0,0,85,1,cis/liberal - outgroup/base_idNo_462266_autoscaled.jpg,stim086,chinese characters/Slide86.jpeg,char086,noise_pattern.jpg,liberal,outgroup,individual,6100b6365a3b961d941f7071,2022-06-15_01h34.52.824,study 2 - amp,2020.2.10,MacIntel,60
,,2,1.764345,0,1,1,69,1,cis/liberal - ingroup/base_idNo_820737_autoscaled.jpg,stim070,chinese characters/Slide70.jpeg,char070,noise_pattern.jpg,liberal,ingroup,individual,6100b6365a3b961d941f7071,2022-06-15_01h34.52.824,study 2 - amp,2020.2.10,MacIntel,60
,,3,1.00273,0,2,2,38,1,cis/conservative - outgroup/base_idNo_612237_autoscaled.jpg,stim039,chinese characters/Slide39.jpeg,char039,noise_pattern.jpg,conservative,outgroup,individual,6100b6365a3b961d941f7071,2022-06-15_01h34.52.824,study 2 - amp,2020.2.10,MacIntel,60
,,4,1.21523,0,3,3,16,1,cis/conservative - ingroup/base_idNo_630658_autoscaled.jpg,stim017,chinese characters/Slide17.jpeg,char017,noise_pattern.jpg,conservative,ingroup,individual,6100b6365a3b961d941f7071,2022-06-15_01h34.52.824,study 2 - amp,2020.2.10,MacIntel,60
,,4,0.598385,0,4,4,51,1,cis/liberal - ingroup/base_idNo_247453_autoscaled.jpg,stim052,chinese characters/Slide52.jpeg,char052,noise_pattern.jpg,liberal,ingroup,individual,6100b6365a3b961d941f7071,2022-06-15_01h34.52.824,study 2 - amp,2020.2.10,MacIntel,60
,,2,0.9678,0,5,5,83,1,cis/liberal - outgroup/base_idNo_383356_autoscaled.jpg,stim084,chinese characters/Slide84.jpeg,char084,noise_pattern.jpg,liberal,outgroup,individual,6100b6365a3b961d941f7071,2022-06-15_01h34.52.824,study 2 - amp,2020.2.10,MacIntel,60
,,3,0.633305,0,6,6,43,1,cis/conservative - outgroup/base_idNo_746324_autoscaled.jpg,stim044,chinese characters/Slide44.jpeg,char044,noise_pattern.jpg,conservative,outgroup,individual,6100b6365a3b961d941f7071,2022-06-15_01h34.52.824,study 2 - amp,2020.2.10,MacIntel,60
,,4,0.74357,0,7,7,78,1,cis/liberal - outgroup/base_idNo_222143_autoscaled.jpg,stim079,chinese characters/Slide79.jpeg,char079,noise_pattern.jpg,liberal,outgroup,individual,6100b6365a3b961d941f7071,2022-06-15_01h34.52.824,study 2 - amp,2020.2.10,MacIntel,60
,,4,0.61271,0,8,8,72,1,cis/liberal - ingroup/base_idNo_929772_autoscaled.jpg,stim073,chinese characters/Slide73.jpeg,char073,noise_pattern.jpg,liberal,ingroup,individual,6100b6365a3b961d941f7071,2022-06-15_01h34.52.824,study 2 - amp,2020.2.10,MacIntel,60
,,3,1.317295,0,9,9,5,1,cis/conservative - ingroup/base_idNo_244753_autoscaled.jpg,stim006,chinese characters/Slide6.jpeg,char006,noise_pattern.jpg,conservative,ingroup,individual,6100b6365a3b961d941f7071,2022-06-15_01h34.52.824,study 2 - amp,2020.2.10,MacIntel,60
