start_task.keys,start_task.rt,charRating.keys,charRating.rt,amp_loop.thisRepN,amp_loop.thisTrialN,amp_loop.thisN,amp_loop.thisIndex,amp_loop.ran,stimPath,stimID,charPath,charID,noiseID,generatorPol,ciGroup,ciLevel,prolificID,date,expName,psychopyVersion,OS,frameRate
space,101.6089,3,4.8293,0,0,0,58,1,cis/liberal - ingroup/base_idNo_458729_autoscaled.jpg,stim059,chinese characters/Slide59.jpeg,char059,noise_pattern.jpg,liberal,ingroup,individual,5ba5d8b960f3d50001697104,2022-06-14_23h50.15.491,study 2 - amp,2020.2.10,MacIntel,60
,,3,1.6341,0,1,1,29,1,cis/conservative - outgroup/base_idNo_270729_autoscaled.jpg,stim030,chinese characters/Slide30.jpeg,char030,noise_pattern.jpg,conservative,outgroup,individual,5ba5d8b960f3d50001697104,2022-06-14_23h50.15.491,study 2 - amp,2020.2.10,MacIntel,60
,,2,1.517,0,2,2,92,1,cis/liberal - outgroup/base_idNo_691475_autoscaled.jpg,stim093,chinese characters/Slide93.jpeg,char093,noise_pattern.jpg,liberal,outgroup,individual,5ba5d8b960f3d50001697104,2022-06-14_23h50.15.491,study 2 - amp,2020.2.10,MacIntel,60
,,2,1.4326,0,3,3,62,1,cis/liberal - ingroup/base_idNo_574089_autoscaled.jpg,stim063,chinese characters/Slide63.jpeg,char063,noise_pattern.jpg,liberal,ingroup,individual,5ba5d8b960f3d50001697104,2022-06-14_23h50.15.491,study 2 - amp,2020.2.10,MacIntel,60
,,3,1.4811,0,4,4,13,1,cis/conservative - ingroup/base_idNo_505940_autoscaled.jpg,stim014,chinese characters/Slide14.jpeg,char014,noise_pattern.jpg,conservative,ingroup,individual,5ba5d8b960f3d50001697104,2022-06-14_23h50.15.491,study 2 - amp,2020.2.10,MacIntel,60
,,3,1.034,0,5,5,65,1,cis/liberal - ingroup/base_idNo_644305_autoscaled.jpg,stim066,chinese characters/Slide66.jpeg,char066,noise_pattern.jpg,liberal,ingroup,individual,5ba5d8b960f3d50001697104,2022-06-14_23h50.15.491,study 2 - amp,2020.2.10,MacIntel,60
,,3,0.8334,0,6,6,76,1,cis/liberal - outgroup/base_idNo_135744_autoscaled.jpg,stim077,chinese characters/Slide77.jpeg,char077,noise_pattern.jpg,liberal,outgroup,individual,5ba5d8b960f3d50001697104,2022-06-14_23h50.15.491,study 2 - amp,2020.2.10,MacIntel,60
,,2,1.2651,0,7,7,25,1,cis/conservative - outgroup/base_idNo_120204_autoscaled.jpg,stim026,chinese characters/Slide26.jpeg,char026,noise_pattern.jpg,conservative,outgroup,individual,5ba5d8b960f3d50001697104,2022-06-14_23h50.15.491,study 2 - amp,2020.2.10,MacIntel,60
,,2,1.3335,0,8,8,38,1,cis/conservative - outgroup/base_idNo_612237_autoscaled.jpg,stim039,chinese characters/Slide39.jpeg,char039,noise_pattern.jpg,conservative,outgroup,individual,5ba5d8b960f3d50001697104,2022-06-14_23h50.15.491,study 2 - amp,2020.2.10,MacIntel,60
,,2,1.0161,0,9,9,18,1,cis/conservative - ingroup/base_idNo_691399_autoscaled.jpg,stim019,chinese characters/Slide19.jpeg,char019,noise_pattern.jpg,conservative,ingroup,individual,5ba5d8b960f3d50001697104,2022-06-14_23h50.15.491,study 2 - amp,2020.2.10,MacIntel,60
