start_task.keys,start_task.rt,charRating.keys,charRating.rt,amp_loop.thisRepN,amp_loop.thisTrialN,amp_loop.thisN,amp_loop.thisIndex,amp_loop.ran,stimPath,stimID,charPath,charID,noiseID,generatorPol,ciGroup,ciLevel,prolificID,date,expName,psychopyVersion,OS,frameRate
space,35.9926,2,4.1534,0,0,0,19,1,cis/conservative - ingroup/base_idNo_700600_autoscaled.jpg,stim020,chinese characters/Slide20.jpeg,char020,noise_pattern.jpg,conservative,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,1,3.8054,0,1,1,63,1,cis/liberal - ingroup/base_idNo_583297_autoscaled.jpg,stim064,chinese characters/Slide64.jpeg,char064,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,1.5437,0,2,2,98,1,cis/liberal - outgroup/base_idNo_868580_autoscaled.jpg,stim099,chinese characters/Slide99.jpeg,char099,noise_pattern.jpg,liberal,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,0.6611,0,3,3,26,1,cis/conservative - outgroup/base_idNo_126568_autoscaled.jpg,stim027,chinese characters/Slide27.jpeg,char027,noise_pattern.jpg,conservative,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,4,1.6469,0,4,4,64,1,cis/liberal - ingroup/base_idNo_627839_autoscaled.jpg,stim065,chinese characters/Slide65.jpeg,char065,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,0.7082,0,5,5,80,1,cis/liberal - outgroup/base_idNo_318528_autoscaled.jpg,stim081,chinese characters/Slide81.jpeg,char081,noise_pattern.jpg,liberal,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,1.156,0,6,6,107,1,cis/group-level cis/base_group_liberalIngroup_autoscaled.jpg,stim108,chinese characters/Slide108.jpeg,char108,noise_pattern.jpg,liberal,ingroup,group,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,0.8896,0,7,7,49,1,cis/conservative - outgroup/base_idNo_914661_autoscaled.jpg,stim050,chinese characters/Slide50.jpeg,char050,noise_pattern.jpg,conservative,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,4,1.0751,0,8,8,69,1,cis/liberal - ingroup/base_idNo_820737_autoscaled.jpg,stim070,chinese characters/Slide70.jpeg,char070,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,0.6988,0,9,9,42,1,cis/conservative - outgroup/base_idNo_735257_autoscaled.jpg,stim043,chinese characters/Slide43.jpeg,char043,noise_pattern.jpg,conservative,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.8413,0,10,10,22,1,cis/conservative - ingroup/base_idNo_851879_autoscaled.jpg,stim023,chinese characters/Slide23.jpeg,char023,noise_pattern.jpg,conservative,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,0.5569,0,11,11,1,1,cis/conservative - ingroup/base_idNo_187033_autoscaled.jpg,stim002,chinese characters/Slide2.jpeg,char002,noise_pattern.jpg,conservative,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.455,0,12,12,10,1,cis/conservative - ingroup/base_idNo_470750_autoscaled.jpg,stim011,chinese characters/Slide11.jpeg,char011,noise_pattern.jpg,conservative,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,1.0568,0,13,13,94,1,cis/liberal - outgroup/base_idNo_798785_autoscaled.jpg,stim095,chinese characters/Slide95.jpeg,char095,noise_pattern.jpg,liberal,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,1,0.7535,0,14,14,89,1,cis/liberal - outgroup/base_idNo_535284_autoscaled.jpg,stim090,chinese characters/Slide90.jpeg,char090,noise_pattern.jpg,liberal,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.98,0,15,15,82,1,cis/liberal - outgroup/base_idNo_349939_autoscaled.jpg,stim083,chinese characters/Slide83.jpeg,char083,noise_pattern.jpg,liberal,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,1.093,0,16,16,36,1,cis/conservative - outgroup/base_idNo_559539_autoscaled.jpg,stim037,chinese characters/Slide37.jpeg,char037,noise_pattern.jpg,conservative,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,1.3763,0,17,17,67,1,cis/liberal - ingroup/base_idNo_662846_autoscaled.jpg,stim068,chinese characters/Slide68.jpeg,char068,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,1.3805,0,18,18,8,1,cis/conservative - ingroup/base_idNo_420235_autoscaled.jpg,stim009,chinese characters/Slide9.jpeg,char009,noise_pattern.jpg,conservative,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,4,2.0167,0,19,19,55,1,cis/liberal - ingroup/base_idNo_309610_autoscaled.jpg,stim056,chinese characters/Slide56.jpeg,char056,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,1.318,0,20,20,86,1,cis/liberal - outgroup/base_idNo_491143_autoscaled.jpg,stim087,chinese characters/Slide87.jpeg,char087,noise_pattern.jpg,liberal,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.8565,0,21,21,40,1,cis/conservative - outgroup/base_idNo_656110_autoscaled.jpg,stim041,chinese characters/Slide41.jpeg,char041,noise_pattern.jpg,conservative,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,0.5597,0,22,22,31,1,cis/conservative - outgroup/base_idNo_311058_autoscaled.jpg,stim032,chinese characters/Slide32.jpeg,char032,noise_pattern.jpg,conservative,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,1,0.5926,0,23,23,27,1,cis/conservative - outgroup/base_idNo_184974_autoscaled.jpg,stim028,chinese characters/Slide28.jpeg,char028,noise_pattern.jpg,conservative,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.767,0,24,24,59,1,cis/liberal - ingroup/base_idNo_488856_autoscaled.jpg,stim060,chinese characters/Slide60.jpeg,char060,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,1,0.6639,0,25,25,73,1,cis/liberal - ingroup/base_idNo_952099_autoscaled.jpg,stim074,chinese characters/Slide74.jpeg,char074,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,0.5446,0,26,26,38,1,cis/conservative - outgroup/base_idNo_612237_autoscaled.jpg,stim039,chinese characters/Slide39.jpeg,char039,noise_pattern.jpg,conservative,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.4166,0,27,27,45,1,cis/conservative - outgroup/base_idNo_882735_autoscaled.jpg,stim046,chinese characters/Slide46.jpeg,char046,noise_pattern.jpg,conservative,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,0.2277,0,28,28,91,1,cis/liberal - outgroup/base_idNo_601743_autoscaled.jpg,stim092,chinese characters/Slide92.jpeg,char092,noise_pattern.jpg,liberal,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.1319,0,29,29,23,1,cis/conservative - ingroup/base_idNo_920301_autoscaled.jpg,stim024,chinese characters/Slide24.jpeg,char024,noise_pattern.jpg,conservative,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,1,0.1004,0,30,30,15,1,cis/conservative - ingroup/base_idNo_626058_autoscaled.jpg,stim016,chinese characters/Slide16.jpeg,char016,noise_pattern.jpg,conservative,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,0.2339,0,31,31,32,1,cis/conservative - outgroup/base_idNo_362980_autoscaled.jpg,stim033,chinese characters/Slide33.jpeg,char033,noise_pattern.jpg,conservative,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.0415,0,32,32,101,1,cis/liberal - outgroup/base_idNo_924521_autoscaled.jpg,stim102,chinese characters/Slide102.jpeg,char102,noise_pattern.jpg,liberal,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.2928,0,33,33,68,1,cis/liberal - ingroup/base_idNo_806540_autoscaled.jpg,stim069,chinese characters/Slide69.jpeg,char069,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.3263,0,34,34,5,1,cis/conservative - ingroup/base_idNo_244753_autoscaled.jpg,stim006,chinese characters/Slide6.jpeg,char006,noise_pattern.jpg,conservative,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,1,0.0693,0,35,35,100,1,cis/liberal - outgroup/base_idNo_920112_autoscaled.jpg,stim101,chinese characters/Slide101.jpeg,char101,noise_pattern.jpg,liberal,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.0128,0,36,36,71,1,cis/liberal - ingroup/base_idNo_887954_autoscaled.jpg,stim072,chinese characters/Slide72.jpeg,char072,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.3567,0,37,37,72,1,cis/liberal - ingroup/base_idNo_929772_autoscaled.jpg,stim073,chinese characters/Slide73.jpeg,char073,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,1,0.1428,0,38,38,52,1,cis/liberal - ingroup/base_idNo_569ac8_autoscaled.jpg,stim053,chinese characters/Slide53.jpeg,char053,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.0496,0,39,39,37,1,cis/conservative - outgroup/base_idNo_593992_autoscaled.jpg,stim038,chinese characters/Slide38.jpeg,char038,noise_pattern.jpg,conservative,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,4,0.4065,0,40,40,56,1,cis/liberal - ingroup/base_idNo_312500_autoscaled.jpg,stim057,chinese characters/Slide57.jpeg,char057,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,4,0.1525,0,41,41,60,1,cis/liberal - ingroup/base_idNo_499872_autoscaled.jpg,stim061,chinese characters/Slide61.jpeg,char061,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,4,0.1492,0,42,42,79,1,cis/liberal - outgroup/base_idNo_316191_autoscaled.jpg,stim080,chinese characters/Slide80.jpeg,char080,noise_pattern.jpg,liberal,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,0.0009,0,43,43,102,1,cis/liberal - outgroup/base_idNo_930308_autoscaled.jpg,stim103,chinese characters/Slide103.jpeg,char103,noise_pattern.jpg,liberal,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.0208,0,44,44,85,1,cis/liberal - outgroup/base_idNo_462266_autoscaled.jpg,stim086,chinese characters/Slide86.jpeg,char086,noise_pattern.jpg,liberal,outgroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,3,0.0143,0,45,45,106,1,cis/group-level cis/base_group_conservativeOutgroup_autoscaled.jpg,stim107,chinese characters/Slide107.jpeg,char107,noise_pattern.jpg,conservative,outgroup,group,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,1,0.1103,0,46,46,57,1,cis/liberal - ingroup/base_idNo_457349_autoscaled.jpg,stim058,chinese characters/Slide58.jpeg,char058,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
,,2,0.476,0,47,47,54,1,cis/liberal - ingroup/base_idNo_293475_autoscaled.jpg,stim055,chinese characters/Slide55.jpeg,char055,noise_pattern.jpg,liberal,ingroup,individual,61037870224cbf560e7709e4,2022-06-14_22h46.01.807,study 2 - amp,2020.2.10,Win32,60
