"idNo","condition","response","stimNum","polAffil"
"384630","conservative",1,157,"conservative"
"384630","conservative",1,236,"conservative"
"384630","conservative",-1,231,"conservative"
"384630","conservative",1,43,"conservative"
"384630","conservative",-1,124,"conservative"
"384630","conservative",1,74,"conservative"
"384630","conservative",1,28,"conservative"
"384630","conservative",-1,115,"conservative"
"384630","conservative",-1,131,"conservative"
"384630","conservative",-1,80,"conservative"
"384630","conservative",-1,195,"conservative"
"384630","conservative",1,8,"conservative"
"384630","conservative",-1,176,"conservative"
"384630","conservative",1,166,"conservative"
"384630","conservative",-1,38,"conservative"
"384630","conservative",1,229,"conservative"
"384630","conservative",-1,99,"conservative"
"384630","conservative",-1,223,"conservative"
"384630","conservative",-1,45,"conservative"
"384630","conservative",1,41,"conservative"
"384630","conservative",-1,185,"conservative"
"384630","conservative",1,122,"conservative"
"384630","conservative",-1,148,"conservative"
"384630","conservative",-1,128,"conservative"
"384630","conservative",-1,84,"conservative"
"384630","conservative",-1,184,"conservative"
"384630","conservative",1,34,"conservative"
"384630","conservative",-1,95,"conservative"
"384630","conservative",1,135,"conservative"
"384630","conservative",1,226,"conservative"
"384630","conservative",-1,211,"conservative"
"384630","conservative",1,197,"conservative"
"384630","conservative",1,6,"conservative"
"384630","conservative",-1,150,"conservative"
"384630","conservative",1,52,"conservative"
"384630","conservative",-1,53,"conservative"
"384630","conservative",-1,136,"conservative"
"384630","conservative",-1,14,"conservative"
"384630","conservative",-1,71,"conservative"
"384630","conservative",-1,65,"conservative"
"384630","conservative",1,242,"conservative"
"384630","conservative",1,227,"conservative"
"384630","conservative",1,106,"conservative"
"384630","conservative",-1,68,"conservative"
"384630","conservative",1,170,"conservative"
"384630","conservative",-1,57,"conservative"
"384630","conservative",-1,17,"conservative"
"384630","conservative",-1,245,"conservative"
"384630","conservative",1,67,"conservative"
"384630","conservative",-1,138,"conservative"
"384630","conservative",1,216,"conservative"
"384630","conservative",1,70,"conservative"
"384630","conservative",-1,2,"conservative"
"384630","conservative",-1,120,"conservative"
"384630","conservative",1,78,"conservative"
"384630","conservative",1,146,"conservative"
"384630","conservative",1,97,"conservative"
"384630","conservative",-1,107,"conservative"
"384630","conservative",-1,21,"conservative"
"384630","conservative",-1,37,"conservative"
"384630","conservative",1,75,"conservative"
"384630","conservative",1,83,"conservative"
"384630","conservative",1,133,"conservative"
"384630","conservative",1,10,"conservative"
"384630","conservative",-1,15,"conservative"
"384630","conservative",1,88,"conservative"
"384630","conservative",1,191,"conservative"
"384630","conservative",1,4,"conservative"
"384630","conservative",-1,48,"conservative"
"384630","conservative",-1,32,"conservative"
"384630","conservative",1,248,"conservative"
"384630","conservative",-1,178,"conservative"
"384630","conservative",-1,47,"conservative"
"384630","conservative",1,51,"conservative"
"384630","conservative",1,82,"conservative"
"384630","conservative",-1,221,"conservative"
"384630","conservative",1,237,"conservative"
"384630","conservative",1,116,"conservative"
